"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
100021000,"EAST BOSTON","02128",101,"Y",1122,1910,"A - Average",3,1,156100,191800,195600,213200,234500,262700,352200
100027000,"EAST BOSTON","02128",101,"Y",1968,1900,"A - Average",4,1,205600,307300,313400,341700,375800,421000,481700
100033000,"EAST BOSTON","02128",101,"Y",1110,1920,"A - Average",4,1,236100,303800,309900,337800,371500,416200,484200
100041000,"EAST BOSTON","02128",101,"N",1145,1900,"G - Good",4,2,224400,300500,306500,334200,392000,440000,514200
100052000,"EAST BOSTON","02128",101,"Y",1648,1900,"G - Good",3,1,118400,170600,174000,189700,303500,548900,655900
100053000,"EAST BOSTON","02128",101,"N",1816,1900,"A - Average",5,2,207900,279600,285100,310900,341900,383000,472700
100118000,"EAST BOSTON","02128",101,"Y",1798,1905,"G - Good",4,2,276600,333200,339900,370600,407500,456600,514500
100137000,"EAST BOSTON","02128",101,"N",1197,1860,"G - Good",2,1,181900,225000,280900,367700,404400,452700,562800
100164000,"EAST BOSTON","02128",101,"N",1255,1900,"A - Average",3,1,199900,266300,271600,296100,325700,364900,405500
100171000,"EAST BOSTON","02128",101,"N",1414,1900,"G - Good",3,1,244200,289100,294900,321500,378600,424700,538800
100172000,"EAST BOSTON","02128",101,"Y",1190,1900,"A - Average",4,1,198100,228000,232600,253500,278800,312400,423400
100187000,"EAST BOSTON","02128",101,"Y",1356,1900,"A - Average",3,1,200700,336800,367600,392500,431700,483600,606400
100188000,"EAST BOSTON","02128",101,"Y",1530,1900,"A - Average",3,2,189600,282100,299900,318800,340400,381600,458700
100189000,"EAST BOSTON","02128",101,"N",1184,1900,"P - Poor",3,2,92000,175800,372800,406400,446900,500700,383100
100190000,"EAST BOSTON","02128",101,"N",1122,1910,"A - Average",3,1,202500,241600,246400,268600,295500,331100,454300
100191000,"EAST BOSTON","02128",101,"N",1188,1900,"A - Average",3,1,208800,259600,264800,288600,317400,364800,431400
100195020,"EAST BOSTON","02128",101,"Y",670,1900,"G - Good",2,1,157400,214900,231800,299500,329400,368900,438500
100212000,"EAST BOSTON","02128",101,"Y",1340,1900,"A - Average",3,1,278300,340700,347500,378800,416600,467300,592300
100221000,"EAST BOSTON","02128",101,"Y",1572,1900,"A - Average",4,2,167500,210000,214200,233500,271700,323900,466500
100222000,"EAST BOSTON","02128",101,"Y",1242,1900,"A - Average",2,2,202600,263200,268500,292700,321900,360600,458400
100223000,"EAST BOSTON","02128",101,"N",1242,1900,"A - Average",2,2,211000,266000,271300,295800,325300,364300,474900
100224000,"EAST BOSTON","02128",101,"Y",992,1900,"A - Average",1,1,199700,240200,245000,267100,293700,329100,419200
100225000,"EAST BOSTON","02128",101,"N",1182,1900,"A - Average",2,1,172100,240000,244800,266800,293500,328800,437900
100228000,"EAST BOSTON","02128",101,"Y",1242,1900,"A - Average",2,1,163200,218500,222900,243000,267200,299300,378800
100229000,"EAST BOSTON","02128",101,"Y",1467,1900,"A - Average",3,1,216300,280800,286400,312200,343400,384600,486700
100230000,"EAST BOSTON","02128",101,"Y",1244,1911,"A - Average",2,1,201600,248300,253300,276100,303700,340200,420200
100231000,"EAST BOSTON","02128",101,"Y",1320,1911,"A - Average",3,1,216700,265600,305800,333400,366700,410900,479100
100233000,"EAST BOSTON","02128",101,"N",1228,1940,"A - Average",3,2,203200,251000,256000,279100,306900,343800,448000
100234000,"EAST BOSTON","02128",101,"N",1242,1900,"A - Average",2,3,196000,285800,291500,317800,349600,391600,439400
100235000,"EAST BOSTON","02128",101,"Y",1242,1900,"A - Average",3,1,169200,223600,228000,248600,273400,306300,387000
100236000,"EAST BOSTON","02128",101,"Y",1188,1900,"A - Average",3,1,234000,279000,241600,263400,289700,324500,411200
100237000,"EAST BOSTON","02128",101,"Y",1168,1900,"A - Average",3,1,210300,252000,257100,280200,345600,387200,444000
100238000,"EAST BOSTON","02128",101,"N",1514,1900,"A - Average",4,2,188000,266900,272300,318200,350000,392100,451700
100239000,"EAST BOSTON","02128",101,"Y",1228,1900,"A - Average",3,1,239300,278700,284300,309900,340800,381800,479500
100240000,"EAST BOSTON","02128",101,"N",1508,1900,"A - Average",3,2,204500,289400,295100,347100,386200,432900,492900
100249000,"EAST BOSTON","02128",101,"Y",2065,1900,"A - Average",4,1,296500,388700,396500,432300,475400,532500,642600
100251000,"EAST BOSTON","02128",101,"N",765,1900,"A - Average",2,1,210000,265400,270700,295100,324600,363600,453500
100252000,"EAST BOSTON","02128",101,"Y",1284,1900,"A - Average",3,1,233100,288700,294500,321000,353100,395500,500100
100285000,"EAST BOSTON","02128",101,"Y",1160,1925,"A - Average",2,1,212500,264100,269400,293700,323000,365100,444900
100287000,"EAST BOSTON","02128",101,"Y",924,1925,"F - Fair",2,1,193500,244600,229540,250240,275264,308300,360000
